date,line_number,metric_abb,metric,value,year
2021-05-01,1,msa,Média dos Sábados,425,2021
2021-05-01,1,mdo,Média dos Domingos,213,2021
2021-05-01,1,max,Máxima Diária,647,2021
2021-05-01,2,total,Total,8472,2021
2021-05-01,2,mdu,Média dos Dias Úteis,344,2021
2021-05-01,2,msa,Média dos Sábados,197,2021
2021-05-01,2,mdo,Média dos Domingos,106,2021
2021-05-01,2,max,Máxima Diária,358,2021
2021-05-01,3,total,Total,16848,2021
2021-05-01,3,mdu,Média dos Dias Úteis,669,2021
2021-05-01,3,msa,Média dos Sábados,451,2021
2021-05-01,3,mdo,Média dos Domingos,233,2021
2021-05-01,3,max,Máxima Diária,695,2021
2021-05-01,15,total,Total,1566,2021
2021-05-01,15,mdu,Média dos Dias Úteis,64,2021
2021-05-01,15,msa,Média dos Sábados,39,2021
2021-05-01,15,mdo,Média dos Domingos,21,2021
2021-05-01,15,max,Máxima Diária,66,2021
2021-05-01,NA,total,Total,45447,2021
2021-05-01,NA,mdu,Média dos Dias Úteis,1767,2021
2021-05-01,NA,msa,Média dos Sábados,1171,2021
2021-05-01,NA,mdo,Média dos Domingos,596,2021
2021-05-01,NA,max,Máxima Diária,1838,2021
2021-06-01,1,total,Total,16821,2021
2021-06-01,1,mdu,Média dos Dias Úteis,649,2021
2021-06-01,1,msa,Média dos Sábados,448,2021
2021-06-01,1,mdo,Média dos Domingos,228,2021
2021-06-01,1,max,Máxima Diária,676,2021
2021-06-01,2,total,Total,9094,2021
2021-06-01,2,mdu,Média dos Dias Úteis,360,2021
2021-06-01,2,msa,Média dos Sábados,210,2021
2021-06-01,2,mdo,Média dos Domingos,115,2021
2021-06-01,2,max,Máxima Diária,371,2021
2021-06-01,3,total,Total,17862,2021
2021-06-01,3,mdu,Média dos Dias Úteis,693,2021
2021-06-01,3,msa,Média dos Sábados,471,2021
2021-06-01,3,mdo,Média dos Domingos,230,2021
2021-06-01,3,max,Máxima Diária,725,2021
2021-06-01,15,total,Total,1670,2021
2021-06-01,15,mdu,Média dos Dias Úteis,65,2021
2021-06-01,15,msa,Média dos Sábados,42,2021
2021-06-01,15,mdo,Média dos Domingos,23,2021
2021-06-01,15,max,Máxima Diária,67,2021
2021-06-01,NA,total,Total,47659,2021
2021-06-01,NA,mdu,Média dos Dias Úteis,1822,2021
2021-06-01,NA,msa,Média dos Sábados,1176,2021
2021-06-01,NA,mdo,Média dos Domingos,626,2021
2021-06-01,NA,max,Máxima Diária,1915,2021
2021-07-01,1,total,Total,17642,2021
2021-07-01,1,mdu,Média dos Dias Úteis,667,2021
2021-07-01,1,msa,Média dos Sábados,457,2021
2021-07-01,1,mdo,Média dos Domingos,240,2021
2021-07-01,1,max,Máxima Diária,703,2021
2021-07-01,2,total,Total,9528,2021
2021-07-01,2,mdu,Média dos Dias Úteis,371,2021
2021-07-01,2,msa,Média dos Sábados,211,2021
2021-07-01,2,mdo,Média dos Domingos,121,2021
2021-07-01,2,max,Máxima Diária,388,2021
2021-07-01,3,total,Total,18695,2021
2021-07-01,3,mdu,Média dos Dias Úteis,711,2021
2021-07-01,3,msa,Média dos Sábados,475,2021
2021-07-01,3,mdo,Média dos Domingos,246,2021
2021-07-01,3,max,Máxima Diária,747,2021
2021-07-01,15,total,Total,1794,2021
2021-07-01,15,mdu,Média dos Dias Úteis,73,2021
2021-07-01,15,msa,Média dos Sábados,33,2021
2021-07-01,15,mdo,Média dos Domingos,18,2021
2021-07-01,15,max,Máxima Diária,76,2021
2021-07-01,NA,total,Total,51839,2021
2021-07-01,NA,mdu,Média dos Dias Úteis,1982,2021
2021-07-01,NA,msa,Média dos Sábados,1236,2021
2021-07-01,NA,mdo,Média dos Domingos,660,2021
2021-07-01,NA,max,Máxima Diária,2062,2021
2021-08-01,1,total,Total,19118,2021
2021-08-01,1,mdu,Média dos Dias Úteis,724,2021
2021-08-01,1,msa,Média dos Sábados,480,2021
2021-08-01,1,mdo,Média dos Domingos,252,2021
2021-08-01,1,max,Máxima Diária,754,2021
2021-08-01,2,total,Total,10574,2021
2021-08-01,2,mdu,Média dos Dias Úteis,411,2021
2021-08-01,2,msa,Média dos Sábados,221,2021
2021-08-01,2,mdo,Média dos Domingos,130,2021
2021-08-01,2,max,Máxima Diária,432,2021
2021-08-01,3,total,Total,20129,2021
2021-08-01,3,mdu,Média dos Dias Úteis,766,2021
2021-08-01,3,msa,Média dos Sábados,495,2021
2021-08-01,3,mdo,Média dos Domingos,259,2021
2021-08-01,3,max,Máxima Diária,801,2021
2021-08-01,15,total,Total,2018,2021
2021-08-01,15,mdu,Média dos Dias Úteis,80,2021
2021-08-01,15,msa,Média dos Sábados,40,2021
2021-08-01,15,mdo,Média dos Domingos,20,2021
2021-08-01,15,max,Máxima Diária,83,2021
2021-08-01,NA,total,Total,53823,2021
2021-08-01,NA,mdu,Média dos Dias Úteis,2132,2021
2021-08-01,NA,msa,Média dos Sábados,1357,2021
2021-08-01,NA,mdo,Média dos Domingos,756,2021
2021-08-01,NA,max,Máxima Diária,2193,2021
2021-09-01,1,total,Total,20063,2021
2021-09-01,1,mdu,Média dos Dias Úteis,787,2021
2021-09-01,1,msa,Média dos Sábados,529,2021
2021-09-01,1,mdo,Média dos Domingos,292,2021
2021-09-01,1,max,Máxima Diária,812,2021
2021-09-01,2,total,Total,10966,2021
2021-09-01,2,mdu,Média dos Dias Úteis,442,2021
2021-09-01,2,msa,Média dos Sábados,244,2021
2021-09-01,2,mdo,Média dos Domingos,152,2021
2021-09-01,2,max,Máxima Diária,453,2021
2021-09-01,3,total,Total,20704,2021
2021-09-01,3,mdu,Média dos Dias Úteis,819,2021
2021-09-01,3,msa,Média dos Sábados,535,2021
2021-09-01,3,mdo,Média dos Domingos,289,2021
2021-09-01,3,max,Máxima Diária,868,2021
2021-09-01,15,total,Total,2090,2021
2021-09-01,15,mdu,Média dos Dias Úteis,85,2021
2021-09-01,15,msa,Média dos Sábados,49,2021
2021-09-01,15,mdo,Média dos Domingos,23,2021
2021-09-01,15,max,Máxima Diária,89,2021
2021-09-01,NA,total,Total,56233,2021
2021-09-01,NA,mdu,Média dos Dias Úteis,2243,2021
2021-09-01,NA,msa,Média dos Sábados,1444,2021
2021-09-01,NA,mdo,Média dos Domingos,745,2021
2021-09-01,NA,max,Máxima Diária,2370,2021
2021-10-01,1,total,Total,21100,2021
2021-10-01,1,mdu,Média dos Dias Úteis,831,2021
2021-10-01,1,msa,Média dos Sábados,570,2021
2021-10-01,1,mdo,Média dos Domingos,285,2021
2021-10-01,1,max,Máxima Diária,880,2021
2021-10-01,2,total,Total,11359,2021
2021-10-01,2,mdu,Média dos Dias Úteis,466,2021
2021-10-01,2,msa,Média dos Sábados,259,2021
2021-10-01,2,mdo,Média dos Domingos,143,2021
2021-10-01,2,max,Máxima Diária,488,2021
2021-10-01,3,total,Total,21708,2021
2021-10-01,3,mdu,Média dos Dias Úteis,858,2021
2021-10-01,3,msa,Média dos Sábados,574,2021
2021-10-01,3,mdo,Média dos Domingos,299,2021
2021-10-01,3,max,Máxima Diária,907,2021
