year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2018,entrance,NA,M<c3><a1>xima Di<c3><a1>ria,3258,99,metro,Sistema METRO,METRO System
2018,entrance,2018-04-01,Total,26059,1,metro,Azul,Blue
2018,entrance,2018-04-01,Total,13462,2,metro,Verde,Green
2018,entrance,2018-04-01,Total,30304,3,metro,Vermelha,Red
2018,entrance,2018-04-01,Total,7640,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-04-01,Total,248,15,metro,Prata,Silver
2018,entrance,2018-04-01,Total,77714,99,metro,Sistema METRO,METRO System
2018,entrance,2018-04-01,M<c3><a9>dia dos Dias <c3><9a>teis,1078,1,metro,Azul,Blue
2018,entrance,2018-04-01,M<c3><a9>dia dos Dias <c3><9a>teis,571,2,metro,Verde,Green
2018,entrance,2018-04-01,M<c3><a9>dia dos Dias <c3><9a>teis,1235,3,metro,Vermelha,Red
2018,entrance,2018-04-01,M<c3><a9>dia dos Dias <c3><9a>teis,319,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-04-01,M<c3><a9>dia dos Dias <c3><9a>teis,12,15,metro,Prata,Silver
2018,entrance,2018-04-01,M<c3><a9>dia dos Dias <c3><9a>teis,3214,99,metro,Sistema METRO,METRO System
2018,entrance,2018-04-01,M<c3><a9>dia dos S<c3><a1>bados,595,1,metro,Azul,Blue
2018,entrance,2018-04-01,M<c3><a9>dia dos S<c3><a1>bados,248,2,metro,Verde,Green
2018,entrance,2018-04-01,M<c3><a9>dia dos S<c3><a1>bados,724,3,metro,Vermelha,Red
2018,entrance,2018-04-01,M<c3><a9>dia dos S<c3><a1>bados,170,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-04-01,M<c3><a9>dia dos S<c3><a1>bados,4,15,metro,Prata,Silver
2018,entrance,2018-04-01,M<c3><a9>dia dos S<c3><a1>bados,1740,99,metro,Sistema METRO,METRO System
2018,entrance,2018-04-01,M<c3><a9>dia dos Domingos,302,1,metro,Azul,Blue
2018,entrance,2018-04-01,M<c3><a9>dia dos Domingos,150,2,metro,Verde,Green
2018,entrance,2018-04-01,M<c3><a9>dia dos Domingos,398,3,metro,Vermelha,Red
2018,entrance,2018-04-01,M<c3><a9>dia dos Domingos,76,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-04-01,M<c3><a9>dia dos Domingos,1,15,metro,Prata,Silver
