year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2016,entrance,2016-12-01,Média dos Sábados,5,15,metro,Prata,Silver
2016,entrance,2016-12-01,Média dos Sábados,1871,99,metro,Sistema METRO,METRO System
2016,entrance,2016-12-01,Média dos Domingos,380,1,metro,Azul,Blue
2016,entrance,2016-12-01,Média dos Domingos,172,2,metro,Verde,Green
2016,entrance,2016-12-01,Média dos Domingos,466,3,metro,Vermelha,Red
2016,entrance,2016-12-01,Média dos Domingos,96,5,metro,Lilás,Lilac
2016,entrance,2016-12-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-12-01,Média dos Domingos,1115,99,metro,Sistema METRO,METRO System
2016,entrance,2016-12-01,Máxima Diária,1114,1,metro,Azul,Blue
2016,entrance,2016-12-01,Máxima Diária,544,2,metro,Verde,Green
2016,entrance,2016-12-01,Máxima Diária,1238,3,metro,Vermelha,Red
