date,line_number,metric_abb,metric,value,year
2021-04-01,NA,mdo,Média dos Domingos,427,2021
2021-04-01,NA,max,Máxima Diária,1367,2021
2021-05-01,1,total,Total,11414,2021
2021-05-01,1,mdu,Média dos Dias Úteis,459,2021
2021-05-01,1,msa,Média dos Sábados,295,2021
2021-05-01,1,mdo,Média dos Domingos,145,2021
2021-05-01,1,max,Máxima Diária,476,2021
2021-05-01,2,total,Total,6301,2021
2021-05-01,2,mdu,Média dos Dias Úteis,256,2021
2021-05-01,2,msa,Média dos Sábados,144,2021
2021-05-01,2,mdo,Média dos Domingos,78,2021
2021-05-01,2,max,Máxima Diária,266,2021
2021-05-01,3,total,Total,14212,2021
2021-05-01,3,mdu,Média dos Dias Úteis,568,2021
2021-05-01,3,msa,Média dos Sábados,369,2021
2021-05-01,3,mdo,Média dos Domingos,191,2021
2021-05-01,3,max,Máxima Diária,592,2021
2021-05-01,15,total,Total,970,2021
2021-05-01,15,mdu,Média dos Dias Úteis,39,2021
2021-05-01,15,msa,Média dos Sábados,25,2021
2021-05-01,15,mdo,Média dos Domingos,13,2021
2021-05-01,15,max,Máxima Diária,41,2021
2021-05-01,NA,total,Total,35117,2021
2021-05-01,NA,mdu,Média dos Dias Úteis,1376,2021
2021-05-01,NA,msa,Média dos Sábados,876,2021
2021-05-01,NA,mdo,Média dos Domingos,442,2021
2021-05-01,NA,max,Máxima Diária,1431,2021
2021-06-01,1,total,Total,12216,2021
2021-06-01,1,mdu,Média dos Dias Úteis,476,2021
2021-06-01,1,msa,Média dos Sábados,311,2021
2021-06-01,1,mdo,Média dos Domingos,159,2021
2021-06-01,1,max,Máxima Diária,497,2021
2021-06-01,2,total,Total,6794,2021
2021-06-01,2,mdu,Média dos Dias Úteis,270,2021
2021-06-01,2,msa,Média dos Sábados,154,2021
2021-06-01,2,mdo,Média dos Domingos,85,2021
2021-06-01,2,max,Máxima Diária,277,2021
2021-06-01,3,total,Total,15052,2021
2021-06-01,3,mdu,Média dos Dias Úteis,589,2021
2021-06-01,3,msa,Média dos Sábados,384,2021
2021-06-01,3,mdo,Média dos Domingos,184,2021
2021-06-01,3,max,Máxima Diária,617,2021
2021-06-01,15,total,Total,1055,2021
2021-06-01,15,mdu,Média dos Dias Úteis,41,2021
2021-06-01,15,msa,Média dos Sábados,26,2021
2021-06-01,15,mdo,Média dos Domingos,14,2021
2021-06-01,15,max,Máxima Diária,43,2021
2021-06-01,NA,total,Total,36681,2021
2021-06-01,NA,mdu,Média dos Dias Úteis,1411,2021
2021-06-01,NA,msa,Média dos Sábados,884,2021
2021-06-01,NA,mdo,Média dos Domingos,467,2021
2021-06-01,NA,max,Máxima Diária,1484,2021
2021-07-01,1,total,Total,12800,2021
2021-07-01,1,mdu,Média dos Dias Úteis,489,2021
2021-07-01,1,msa,Média dos Sábados,318,2021
2021-07-01,1,mdo,Média dos Domingos,166,2021
2021-07-01,1,max,Máxima Diária,517,2021
2021-07-01,2,total,Total,7114,2021
2021-07-01,2,mdu,Média dos Dias Úteis,275,2021
2021-07-01,2,msa,Média dos Sábados,162,2021
2021-07-01,2,mdo,Média dos Domingos,94,2021
2021-07-01,2,max,Máxima Diária,288,2021
2021-07-01,3,total,Total,15736,2021
2021-07-01,3,mdu,Média dos Dias Úteis,603,2021
2021-07-01,3,msa,Média dos Sábados,387,2021
2021-07-01,3,mdo,Média dos Domingos,198,2021
2021-07-01,3,max,Máxima Diária,635,2021
2021-07-01,15,total,Total,1031,2021
