date,year,line_number,station_code,station_name,passengers
2020-01-06,2020,2,cns,Consolação,101.9
2020-01-06,2020,2,img,Santos-Imigrantes,13.7
2020-01-06,2020,2,pso,Paraíso,11.8
2020-01-06,2020,2,sac,Sacomã,38.3
2020-01-06,2020,2,sum,Sumaré,10.7
2020-01-06,2020,2,tri,Trianon-Masp,47.5
2020-01-06,2020,2,tti,Tamanduateí,67.9
2020-01-06,2020,2,vmd,Vila Madalena,21.6
2020-01-06,2020,2,vpt,Vila Prudente,19.6
2020-01-06,2020,3,art,Artur Alvim,54.7
2020-01-06,2020,3,bas,Brás,91.2
2020-01-06,2020,3,bel,Belém,37.8
2020-01-06,2020,3,bfu,Palmeiras-Barra Funda,162.3
2020-01-06,2020,3,bre,Bresser-Moóca,30.1
2020-01-06,2020,3,car,Carrão,40
2020-01-06,2020,3,cec,Santa Cecília,27
2020-01-06,2020,3,deo,Marechal Deodoro,28.3
2020-01-06,2020,3,gbu,Anhangabaú,56.6
2020-01-06,2020,3,itq,Corinthians-Itaquera,79.1
2020-01-06,2020,3,pca,Patriarca,20.7
2020-01-06,2020,3,pds,Pedro II,19.4
2020-01-06,2020,3,pen,Penha,28.8
2020-01-06,2020,3,pse,Sé,31.8
2020-01-06,2020,3,rep,República,138.4
2020-01-06,2020,3,tat,Tatuapé,69.3
2020-01-06,2020,3,vpa,Guilhermina-Esperança,20.5
2020-01-06,2020,3,vtd,Vila Matilde,24.7
2020-01-06,2020,15,cad,Camilo Haddad,2.9
2020-01-06,2020,15,fjt,Fazenda da Juta,1.8
2020-01-06,2020,15,jpl,Jardim Planalto,6.2
2020-01-06,2020,15,mat,São Mateus,6.4
2020-01-06,2020,15,ort,Oratório,5.3
2020-01-06,2020,15,sap,Sapopemba,3.7
2020-01-06,2020,15,slu,São Lucas,4.2
2020-01-06,2020,15,vpm,Vila Prudente,9.3
2020-01-06,2020,15,vtl,Vila Tolstói,3.8
2020-01-06,2020,15,vun,Vila União,5
2020-01-07,2020,1,anr,Ana Rosa,19.4
2020-01-07,2020,1,arv,Praça da Árvore,18.2
2020-01-07,2020,1,bto,São Bento,69.3
2020-01-07,2020,1,cdu,Carandiru,12.7
2020-01-07,2020,1,con,Conceição,34.5
2020-01-07,2020,1,jab,Jabaquara,77.9
2020-01-07,2020,1,jpa,Jardim São Paulo-Ayrton Senna,12.5
2020-01-07,2020,1,jqm,São Joaquim,18.5
2020-01-07,2020,1,jud,São Judas,17.4
2020-01-07,2020,1,lib,Japão-Liberdade,21.6
2020-01-07,2020,1,luz,Luz,122.3
2020-01-07,2020,1,pig,Parada Inglesa,13.7
2020-01-07,2020,1,ppq,Armênia,21.7
2020-01-07,2020,1,pse,Sé,23.5
2020-01-07,2020,1,pso,Paraíso,21.7
2020-01-07,2020,1,san,Santana,54.9
2020-01-07,2020,1,sau,Saúde,30.4
2020-01-07,2020,1,scz,Santa Cruz,100.3
2020-01-07,2020,1,trd,Tiradentes,12.1
2020-01-07,2020,1,tte,Portuguesa-Tietê,56.1
2020-01-07,2020,1,tuc,Tucuruvi,61.7
2020-01-07,2020,1,vgo,Vergueiro,26.3
2020-01-07,2020,1,vmn,Vila Mariana,17.7
2020-01-07,2020,2,aip,Alto do Ipiranga,16.6
2020-01-07,2020,2,anr,Ana Rosa,10.9
2020-01-07,2020,2,bgd,Brigadeiro,56
2020-01-07,2020,2,ckb,Chácara Klabin,69.9
2020-01-07,2020,2,cli,Clínicas,22.1
2020-01-07,2020,2,cns,Consolação,98.9
2020-01-07,2020,2,img,Santos-Imigrantes,14
2020-01-07,2020,2,pso,Paraíso,12.2
2020-01-07,2020,2,sac,Sacomã,39.6
2020-01-07,2020,2,sum,Sumaré,11.5
2020-01-07,2020,2,tri,Trianon-Masp,49.5
2020-01-07,2020,2,tti,Tamanduateí,68.9
2020-01-07,2020,2,vmd,Vila Madalena,23
2020-01-07,2020,2,vpt,Vila Prudente,20.2
2020-01-07,2020,3,art,Artur Alvim,56.6
2020-01-07,2020,3,bas,Brás,93.5
2020-01-07,2020,3,bel,Belém,36.7
2020-01-07,2020,3,bfu,Palmeiras-Barra Funda,177.3
2020-01-07,2020,3,bre,Bresser-Moóca,30.8
2020-01-07,2020,3,car,Carrão,40.9
2020-01-07,2020,3,cec,Santa Cecília,27.9
2020-01-07,2020,3,deo,Marechal Deodoro,29.2
2020-01-07,2020,3,gbu,Anhangabaú,60.3
2020-01-07,2020,3,itq,Corinthians-Itaquera,79.8
2020-01-07,2020,3,pca,Patriarca,21.6
2020-01-07,2020,3,pds,Pedro II,21.9
2020-01-07,2020,3,pen,Penha,29.4
2020-01-07,2020,3,pse,Sé,33.8
2020-01-07,2020,3,rep,República,145.3
2020-01-07,2020,3,tat,Tatuapé,79.4
2020-01-07,2020,3,vpa,Guilhermina-Esperança,21
2020-01-07,2020,3,vtd,Vila Matilde,25.7
2020-01-07,2020,15,cad,Camilo Haddad,3.3
2020-01-07,2020,15,fjt,Fazenda da Juta,2.3
2020-01-07,2020,15,jpl,Jardim Planalto,4.4
2020-01-07,2020,15,mat,São Mateus,10.6
2020-01-07,2020,15,ort,Oratório,5.8
2020-01-07,2020,15,sap,Sapopemba,5.7
2020-01-07,2020,15,slu,São Lucas,4.6
2020-01-07,2020,15,vpm,Vila Prudente,9.3
2020-01-07,2020,15,vtl,Vila Tolstói,4.3
2020-01-07,2020,15,vun,Vila União,5.3
2020-01-08,2020,1,anr,Ana Rosa,19.3
2020-01-08,2020,1,arv,Praça da Árvore,18.1
2020-01-08,2020,1,bto,São Bento,65.8
2020-01-08,2020,1,cdu,Carandiru,12.9
2020-01-08,2020,1,con,Conceição,34.4
2020-01-08,2020,1,jab,Jabaquara,76.6
2020-01-08,2020,1,jpa,Jardim São Paulo-Ayrton Senna,12.2
