date,year,line_number,station_code,station_name,passengers
2012-02-28,2012,4,NA,Butantã,53328
2012-02-28,2012,4,NA,Faria Lima,39193
2012-02-28,2012,4,NA,Luz,5781
2012-02-28,2012,4,NA,Paulista,25964
2012-02-28,2012,4,NA,Pinheiros,7139
2012-02-29,2012,4,NA,Butantã,51078
2012-02-29,2012,4,NA,Faria Lima,38815
2012-02-29,2012,4,NA,Luz,5538
2012-02-29,2012,4,NA,Paulista,26191
2012-02-29,2012,4,NA,Pinheiros,7098
2012-03-01,2012,4,NA,Butantã,53279
2012-03-01,2012,4,NA,Faria Lima,39767
2012-03-01,2012,4,NA,Luz,5811
2012-03-01,2012,4,NA,Paulista,25952
2012-03-01,2012,4,NA,Pinheiros,8046
2012-03-02,2012,4,NA,Butantã,53174
2012-03-02,2012,4,NA,Faria Lima,39704
2012-03-02,2012,4,NA,Luz,5545
2012-03-02,2012,4,NA,Paulista,26382
2012-03-02,2012,4,NA,Pinheiros,8282
2012-03-03,2012,4,NA,Butantã,26682
2012-03-03,2012,4,NA,Faria Lima,18231
2012-03-03,2012,4,NA,Luz,3222
2012-03-03,2012,4,NA,Paulista,8764
2012-03-03,2012,4,NA,Pinheiros,2021
2012-03-04,2012,4,NA,Butantã,14235
2012-03-04,2012,4,NA,Faria Lima,10053
2012-03-04,2012,4,NA,Luz,1236
2012-03-04,2012,4,NA,Paulista,4548
2012-03-04,2012,4,NA,Pinheiros,976
2012-03-05,2012,4,NA,Butantã,54751
2012-03-05,2012,4,NA,Faria Lima,38581
2012-03-05,2012,4,NA,Luz,5772
2012-03-05,2012,4,NA,Paulista,25612
2012-03-05,2012,4,NA,Pinheiros,7956
2012-03-06,2012,4,NA,Butantã,56998
2012-03-06,2012,4,NA,Faria Lima,40943
2012-03-06,2012,4,NA,Luz,5919
2012-03-06,2012,4,NA,Paulista,26543
2012-03-06,2012,4,NA,Pinheiros,8251
2012-03-07,2012,4,NA,Butantã,56520
2012-03-07,2012,4,NA,Faria Lima,40521
2012-03-07,2012,4,NA,Luz,5904
2012-03-07,2012,4,NA,Paulista,26801
2012-03-07,2012,4,NA,Pinheiros,8433
2012-03-08,2012,4,NA,Butantã,56622
2012-03-08,2012,4,NA,Faria Lima,40638
2012-03-08,2012,4,NA,Luz,6153
2012-03-08,2012,4,NA,Paulista,26903
2012-03-08,2012,4,NA,Pinheiros,8359
2012-03-09,2012,4,NA,Butantã,56424
2012-03-09,2012,4,NA,Faria Lima,41282
2012-03-09,2012,4,NA,Luz,6182
2012-03-09,2012,4,NA,Paulista,26866
2012-03-09,2012,4,NA,Pinheiros,8281
2012-03-10,2012,4,NA,Butantã,28392
2012-03-10,2012,4,NA,Faria Lima,18783
2012-03-10,2012,4,NA,Luz,3563
2012-03-10,2012,4,NA,Paulista,9078
2012-03-10,2012,4,NA,Pinheiros,2088
2012-03-11,2012,4,NA,Butantã,16031
2012-03-11,2012,4,NA,Faria Lima,11570
2012-03-11,2012,4,NA,Luz,1243
2012-03-11,2012,4,NA,Paulista,4757
2012-03-11,2012,4,NA,Pinheiros,987
2012-03-12,2012,4,NA,Butantã,54896
2012-03-12,2012,4,NA,Faria Lima,38728
2012-03-12,2012,4,NA,Luz,6273
2012-03-12,2012,4,NA,Paulista,26165
2012-03-12,2012,4,NA,Pinheiros,7921
2012-03-13,2012,4,NA,Butantã,56457
2012-03-13,2012,4,NA,Faria Lima,39662
2012-03-13,2012,4,NA,Luz,5794
2012-03-13,2012,4,NA,Paulista,26297
2012-03-13,2012,4,NA,Pinheiros,8263
2012-03-14,2012,4,NA,Butantã,56267
2012-03-14,2012,4,NA,Faria Lima,40207
2012-03-14,2012,4,NA,Luz,6644
2012-03-14,2012,4,NA,Paulista,26511
2012-03-14,2012,4,NA,Pinheiros,8353
2012-03-15,2012,4,NA,Butantã,55702
2012-03-15,2012,4,NA,Faria Lima,39378
2012-03-15,2012,4,NA,Luz,6016
2012-03-15,2012,4,NA,Paulista,26541
2012-03-15,2012,4,NA,Pinheiros,8201
2012-03-16,2012,4,NA,Butantã,57014
2012-03-16,2012,4,NA,Faria Lima,40686
2012-03-16,2012,4,NA,Luz,6169
2012-03-16,2012,4,NA,Paulista,26510
2012-03-16,2012,4,NA,Pinheiros,8243
2012-03-17,2012,4,NA,Butantã,28548
2012-03-17,2012,4,NA,Faria Lima,19001
2012-03-17,2012,4,NA,Luz,3533
2012-03-17,2012,4,NA,Paulista,9486
2012-03-17,2012,4,NA,Pinheiros,2036
2012-03-18,2012,4,NA,Butantã,17130
2012-03-18,2012,4,NA,Faria Lima,11463
2012-03-18,2012,4,NA,Luz,1344
2012-03-18,2012,4,NA,Paulista,4421
2012-03-18,2012,4,NA,Pinheiros,1162
2012-03-19,2012,4,NA,Butantã,54714
2012-03-19,2012,4,NA,Faria Lima,38448
2012-03-19,2012,4,NA,Luz,5626
2012-03-19,2012,4,NA,Paulista,26155
2012-03-19,2012,4,NA,Pinheiros,8046
2012-03-20,2012,4,NA,Butantã,55817
2012-03-20,2012,4,NA,Faria Lima,39559
2012-03-20,2012,4,NA,Luz,6102
2012-03-20,2012,4,NA,Paulista,26705
2012-03-20,2012,4,NA,Pinheiros,8318
2012-03-21,2012,4,NA,Butantã,55891
2012-03-21,2012,4,NA,Faria Lima,39812
2012-03-21,2012,4,NA,Luz,6051
2012-03-21,2012,4,NA,Paulista,27148
2012-03-21,2012,4,NA,Pinheiros,8399
2012-03-22,2012,4,NA,Butantã,55611
